0,2850014
1,415673
2,189300
3,110422
4,74451
5,53439
6,41311
7,32513
8,26249
9,21833
10,18263
11,15315
12,13501
13,11574
14,10163
15,8936
16,7986
17,7094
18,6196
19,5558
20,5075
21,4609
22,4224
23,3748
24,3536
25,3184
26,2995
27,2649
28,2469
29,2245
30,2128
31,1971
32,1818
33,1574
34,1604
35,1476
36,1355
37,1298
38,1139
39,1122
40,1059
41,994
42,944
43,847
44,824
45,745
46,673
47,651
48,654
49,645
50,607
51,552
52,562
53,490
54,515
55,447
56,422
57,394
58,390
59,384
60,353
61,367
62,327
63,326
64,310
65,311
66,282
67,275
68,258
69,268
70,247
71,240
72,200
73,214
74,211
75,193
76,195
77,204
78,174
79,180
80,155
81,147
82,176
83,147
84,137
85,153
86,143
87,131
88,136
89,135
90,127
91,127
92,118
93,111
94,104
95,105
96,91
97,111
98,96
99,83
100,84
101,93
102,90
103,101
104,67
105,88
106,73
107,83
108,73
109,79
110,81
111,66
112,77
113,87
114,58
115,59
116,61
117,60
118,45
119,62
120,61
121,62
122,49
123,54
124,61
125,45
126,55
127,48
128,51
129,59
130,51
131,55
132,42
133,51
134,44
135,43
136,43
137,36
138,39
139,48
140,44
141,39
142,43
143,41
144,41
145,43
146,32
147,43
148,36
149,33
150,23
151,37
152,37
153,31
154,30
155,27
156,28
157,28
158,29
159,25
160,31
161,30
162,43
163,33
164,26
165,26
166,26
167,28
168,23
169,29
170,26
171,29
172,18
173,21
174,28
175,24
176,24
177,22
178,14
179,10
180,23
181,25
182,18
183,23
184,14
185,26
186,18
187,18
188,24
189,17
190,20
191,19
192,21
193,15
194,18
195,23
196,15
197,26
198,14
199,16
200,7
201,17
202,20
203,17
204,15
205,17
206,15
207,19
208,12
209,15
210,12
211,13
212,8
213,12
214,19
215,14
216,7
217,13
218,16
219,19
220,12
221,12
222,13
223,21
224,13
225,13
226,13
227,9
228,18
229,20
230,9
231,12
232,15
233,15
234,12
235,11
236,7
237,12
238,12
239,9
240,11
241,13
242,14
243,10
244,8
245,15
246,10
247,7
248,12
249,12
250,10
251,14
252,8
253,10
254,8
255,8
256,7
257,14
258,8
259,7
260,8
261,11
262,4
263,3
264,16
265,13
266,10
267,4
268,8
269,9
270,13
271,8
272,7
273,6
274,9
275,9
276,11
277,10
278,9
279,10
280,10
281,14
282,5
283,10
284,11
285,11
286,4
287,5
288,6
289,8
290,5
291,8
292,4
293,6
294,8
295,7
296,5
297,8
298,8
299,3
300,11
301,2
302,8
